DateTime,FoodItem,Type
2024-03-24-15:30,trail mix,solid
2024-03-24-16:30,potato chips,solid
2024-03-24-19:00,homemade Chipotle,solid
2024-03-25-09:00,black coffee,liquid
2024-03-25-13:10,lunch,solid
2024-03-25-19:10,dinner,solid
2024-03-26-07:30,black coffee,liquid
2024-03-26-12:00,lunch,solid
2024-03-26-14:20,coffee with creamer,liquid
2024-03-26-16:10,Apple juice,liquid
2024-03-26-18:40,dinner,solid
2024-03-27-12:20,lunch,solid
2024-03-27-14:30,decaf coffee,liquid
2024-03-27-09:00,black coffee,liquid
2024-03-27-18:45,dinner,solid
2024-03-28-08:00,black coffee,liquid
2024-03-28-10:10,black coffee,liquid
2024-03-28-12:30,lunch,solid
2024-03-28-19:30,dinner,solid
2024-03-29-08:40,black coffee,liquid
2024-03-29-13:00,lunch,solid
2024-03-29-15:30,banana snacks,solid
2024-03-29-17:20,potato chips,solid
2024-03-29-19:50,dinner,solid
2024-03-30-07:30,Black coffee,Liquid
2024-03-30-11:50,Lunch,Solid
2024-03-30-16:50,Sweet corn,Solid
2024-03-30-19:00,Dinner,Solid
2024-03-31-08:40,Black coffee,Liquid
2024-03-31-14:00,Pizza,Liquid
2024-03-31-17:00,Gator ride,Solid
2024-03-31-19:15,Dinner,Solid
2024-04-01-09:50,Black coffee,Liquid
2024-04-01-12:12,Coffee with creamer,Liquid
2024-04-01-12:30,Lunch,Solid
2024-04-01-19:50,Dinner,Solid
2024-04-02-07:30,Black coffee,Liquid
2024-04-02-12:40,Lunch,Solid
2024-04-02-14:00,Coca-Cola,Liquid
2024-04-02-16:10,Brownie,Solid
2024-04-02-18:00,Dinner,Solid
2024-04-03-09:00,Black coffee,Liquid
2024-04-03-11:20,Black coffee,Liquid
2024-04-03-12:00,Lunch,Solid
2024-04-03-16:30,Biscuits,Solid
2024-04-03-19:45,Dinner,Solid
2024-04-04-08:40,Black coffee,Liquid
2024-04-04-12:30,Lunch,Solid
2024-04-04-15:00,Brownie,Solid
2024-04-04-17:00,Chips,Solid
2024-04-04-18:20,Dinner,Solid
2024-04-05-08:00,Black coffee,Liquid
2024-04-05-09:20,Black tea,Liquid
2024-04-05-12:00,Lunch,Solid
2024-04-05-21:00,Dinner,Solid
2024-04-06-11:00,Coffee with cream,Liquid
2024-04-06-14:00,Lunch,Solid
2024-04-06-17:00,Snacks,Solid
2024-04-06-21:00,Dinner,Solid
